image_idx,label,prediction,correct,radius
199,8,8,1,0.3337843812240071
200,5,5,1,0.03846078807277349
201,1,1,1,0.30552005244571495
202,8,8,1,0.6955205444683852
203,7,7,1,0.4861065334546216
204,1,1,1,0.7996443786845846
205,3,3,1,0.6563206654191157
206,0,0,1,0.44987636810216475
207,5,5,1,0.633948677169767
208,7,7,1,0.7996443786845846
209,9,9,1,0.6767094767272421
210,7,5,0,0.12404387465706819
211,4,4,1,0.05338464217528566
212,5,5,1,0.4951262857399703
213,9,7,0,0.07821618407092412
214,8,8,1,0.3521322779581729
215,0,0,1,0.39468535829551377
216,7,7,1,0.7996443786845846
217,9,9,1,0.5458621301069703
218,8,0,0,0.30346766813971016
219,2,2,1,0.5617957445317001
220,7,7,1,0.3894494984383448
221,6,6,1,0.21360172849345052
222,9,9,1,0.7996443786845846
223,4,4,1,0.2805777386895911
224,3,3,1,0.05267569971435817
225,9,9,1,0.34483226844171
226,6,4,0,0.05048739276544485
227,4,4,1,0.39261503027627714
228,7,7,1,0.012549711161423364
229,6,6,1,0.004953498725652629
230,5,5,1,0.7996443786845846
231,1,1,1,0.7996443786845846
232,5,-1,0,0.0
233,8,1,0,0.0013164086298693152
234,8,8,1,0.4951262857399703
235,0,0,1,0.7996443786845846
236,4,4,1,0.5506343692735309
237,0,-1,0,0.0
238,5,5,1,0.20396332392483288
239,5,5,1,0.6537911090637826
240,1,1,1,0.7996443786845846
241,1,1,1,0.6616304920975951
242,8,-1,0,0.0
243,9,9,1,0.602828929985211
244,0,0,1,0.7996443786845846
245,3,3,1,0.22291204693299005
246,1,1,1,0.5340974724770537
247,9,8,0,0.5027672966726988
248,2,2,1,0.7784908980456575
249,2,2,1,0.019974228131988438
